Category,Question
Event Log Data,What is the most complex case?
Event Log Data,Which are the longest and shortest cases in average?
Analysis,Does this log adhere to the standard process?
Event Log Data,What should I do to view the most frequent cases?
Event Log Data,What is the most common flow of activities?
Event Log Data,What is the mean lead time of the process instances completed today?
Analysis,Which bottlenecks take more time?
Analysis,What are the main bottlenecks in the process?
Analysis,What are the bottlenecks?
Analysis,What are the main bottlenecks in the process?
Event Log Data,What percentage of cases follow the most common trace?
Analysis,What are the possible root causes of slow activities in my process?
Analysis,What is the biggest bottleneck in the log?
Event Log Data,What are the most executed activities?
Advanced Analysis,Is there something special I should worry about this weekend?
Event Log Data,Which activity has the highest mean resolution time?
Analysis,Where am I wasting the most time in the process?
Event Log Data,Size of my log
Event Log Data,Which is the standard model path?
Event Log Data,Which activity takes longer to be executed?
Analysis,How many services do not conform to the online sales model?
Event Log Data,How many variants are there in the process?
Analysis,What activities are time bottlenecks in the process?
Event Log Data,What are the 10% slower cases?
Analysis,What are the current top 3 temporal bottlenecks in my operation?
Analysis,"Show me the main conformance issues sorted by their frequency or score, if possible."
Analysis,What activity causes the worst bottleneck in the main variant?
Process Model,What is the process model underlined in this log?
Event Log Data,Show me the trace with the longest duration in hours? What is the average?
Analysis,Which is the bottleneck that impacts the process the most?
Event Log Data,Could you show me the variants with more than 10 cases for which the throughput time is more than 3 times the model’s average throughput time?
Analysis,Is there any conformance issue?
Event Log Data,What is the average number of events per case?
Event Log Data,How many different activities are there?
Event Log Data,What is the average process execution time?
Event Log Data,Which is the least frequent activity in the process?
Event Log Data,Which activity takes longer to execute?
Analysis,Which resource currently has the longest queue of activities?
Event Log Data,Which is the most used resource?
Event Log Data,Which tasks use the most resources?
Event Log Data,Which resources take the longest to execute their tasks?
Event Log Data,What is the average process execution time for the most common cases?
Advanced Analysis,What is the predicted completion time for case X?
Analysis,What are the main causes of rework in this log?
Process Model,What share of activities from the log are in the discovered process model?
Advanced Analysis,What are your suggestions for me to reduce cost from my process?
Event Log Data,How many processes have been completed with solved status up to 12 pm today?
Analysis,Which process executions are not conformant to the standard process?
Event Log Data,How much data variation does my log show?
Event Log Data,What activities take longer to execute?
Advanced Analysis,What if I change the order of execution of activities A and B? How would the execution time and cost change?
Event Log Data,"Tell me what are the activities, in order of execution, that make the happy path of the log?"
Event Log Data,What is the average time between activities A and B?
Event Log Data,What resources take the longest to execute activity A?
Analysis,"If I take the most frequent variant as a base, what are the main conformance issues?"
Analysis,What are currently the 3 worst bottlenecks in my operation in terms of process queue?
Event Log Data,Filter the traces that include activity X.
Analysis,Is the process conformant?
Analysis,Are there deviations in the process?
Event Log Data,I would like to see statistics comparing variants
Analysis,What are the main causes of bottlenecks?
Event Log Data,What is the average case resolution time for department K in the last 3 months excluding the current month?
Analysis,What are the bottlenecks?
Event Log Data,How many different cases are there in the log?
Event Log Data,What are the most and least frequent tasks?
Event Log Data,What is the average execution time of task A?
Event Log Data,What activity takes the longest to execute?
Analysis,What are the bottlenecks?
Analysis,What activities are more than 3 days late?
Analysis,What are the invalid paths?
Advanced Analysis,What are the top 3 process improvement proposals and what are their rationales?
Advanced Analysis,What are my current process risks?
Process Model,What activities create redundancies in the process?
Event Log Data,What activities are the most executed in the process?
Analysis,What are the most frequent nonconformances in my process?
Event Log Data,What share of the log follow the happy path?
Analysis,What activities in the log are not in the process model?
Advanced Analysis,To whom should I assign the new tasks that have been added to the process?
Analysis,Identify which tasks deviate from the standard process and who is involved?
Event Log Data,What is my best path?
Analysis,Could you show me the nonconformances?
Event Log Data,What tasks are executed for all cases?
Analysis,Which attendants do not meet the target for KPI X? 
Event Log Data,"Present statistics for the process under analysis, such as the slowest and fastest traces, number of cases, average case execution time, etc."
Process Model,How many connections does this process variant have?
Analysis,Which process instances do not follow the expected model?
Process Model,What cases contain loops?
Analysis,What are the 3 main process nonconformances happening this week?
Process Model,Show me only activity A and its predecessors and successors.
Event Log Data,What is the main trace in my process?
Event Log Data,"What are the average, minimum and maximum process duration?"
Event Log Data,"What people are involved in cases X, Y and Z?"
Event Log Data,How many cases do not follow the most common path?
